Driver,Win/Races,T5/Races,t10/Races,LED/Laps,Avg Start,Avg Finish,RAF/Races,LLF/Races
ZANE SMITH,0,0,0.066666667,0.000911577,28.1,26.5,0.8,0.466666667
NOAH GRAGSON,0,0.022222222,0.066666667,0.00068173,25.6,25.3,0.733333333,0.333333333
KAZ GRALA,0,0,0.153846154,0.005001924,31.2,23.8,0.769230769,0.461538462
HARRISON BURTON,0,0.012658228,0.050632911,0.003126466,23.7,24,0.82278481,0.493670886
JUSTIN HALEY,0.00877193,0.043859649,0.114035088,0.002689757,25.5,22.3,0.868421053,0.50877193
RYAN PREECE,0,0.01910828,0.070063694,0.004328143,24.7,23.2,0.821656051,0.388535032
AUSTIN DILLON,0.010582011,0.058201058,0.198412698,0.003706442,17.7,18.2,0.888888889,0.603174603
JOSH BERRY,0,0.055555556,0.166666667,0.008056187,25.7,22.8,0.888888889,0.444444444
DANIEL HEMRIC,0,0.018867925,0.056603774,0.00166125,19.1,23,0.830188679,0.320754717
TODD GILLILAND,0,0.012820513,0.076923077,0.00501952,26.5,22.8,0.871794872,0.474358974
CARSON HOCEVAR,0,0,0,0,22.3,23.9,0.733333333,0.533333333
RICKY STENHOUSE JR,0.007389163,0.054187192,0.13546798,0.005278135,19.6,20.5,0.862068966,0.539408867
COREY LAJOIE,0,0.016528926,0.037190083,0.002132622,28.9,25.8,0.847107438,0.318181818
JOEY LOGANO,0.058287796,0.29143898,0.500910747,0.056496168,11.7,14.1,0.908925319,0.717668488
ERIK JONES,0.011494253,0.141762452,0.340996169,0.012125211,17.7,17.3,0.877394636,0.601532567
MICHAEL MCDOWELL,0.004246285,0.01910828,0.082802548,0.003106019,25.2,27.3,0.690021231,0.316348195
AUSTIN CINDRIC,0.011764706,0.082352941,0.188235294,0.008440061,16.1,19.6,0.870588235,0.6
BUBBA WALLACE,0.008888889,0.08,0.151111111,0.009674027,20.2,20.4,0.862222222,0.475555556
CHASE BRISCOE,0.00877193,0.087719298,0.201754386,0.016862759,17.7,18.9,0.903508772,0.631578947
BRAD KESELOWSKI,0.066413662,0.280834915,0.476280835,0.064052604,12.9,14.1,0.916508539,0.738140417
JOHN H. NEMECHEK,0,0,0.106382979,7.93399E-05,24.1,22.1,0.872340426,0.404255319
DANIEL SUAREZ,0.007782101,0.073929961,0.233463035,0.010233788,18.5,19,0.883268482,0.571984436
KYLE BUSCH,0.092105263,0.361111111,0.546783626,0.103386483,12.3,13.9,0.885964912,0.736842105
CHRIS BUESCHER,0.016722408,0.066889632,0.197324415,0.007926559,20.5,19.2,0.899665552,0.551839465
ALEX BOWMAN,0.023728814,0.118644068,0.277966102,0.017086084,18.3,19.8,0.874576271,0.538983051
TYLER REDDICK,0.032894737,0.184210526,0.394736842,0.02943418,13.6,16.5,0.868421053,0.638157895
CHASE ELLIOTT,0.061643836,0.318493151,0.523972603,0.066172283,11.2,13.1,0.897260274,0.753424658
ROSS CHASTAIN,0.020725389,0.150259067,0.248704663,0.028872502,23,20.4,0.886010363,0.461139896
CHRISTOPHER BELL,0.046666667,0.226666667,0.44,0.037318406,13.7,15.6,0.873333333,0.666666667
WILLIAM BYRON,0.054054054,0.193693694,0.387387387,0.046790767,12.7,15.5,0.864864865,0.675675676
KYLE LARSON,0.071216617,0.314540059,0.492581602,0.08717966,11.8,14.2,0.851632047,0.724035608
DENNY HAMLIN,0.079268293,0.339939024,0.521341463,0.080355769,11.9,13.1,0.919207317,0.766768293
RYAN BLANEY,0.032051282,0.230769231,0.429487179,0.046131573,11.6,15.3,0.884615385,0.689102564
TY GIBBS,0,0.122807018,0.280701754,0.022765785,14.5,18.5,0.842105263,0.649122807
MARTIN TRUEX JR,0.051282051,0.215686275,0.428355958,0.067444649,13.7,15.1,0.891402715,0.736048265
